REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF483VRP_sorted.bam	ENCFF183PVA_sorted.bam
32_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12625_lociStitched	chr2	30640103	30726358	32	27493	60059.3565	9134.4045
22_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3827_lociStitched	chr11	88114743	88187723	22	9262	27849.168	7589.92
37_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21689_lociStitched	chr7	142509488	142575084	37	24303	48022.8316	7169.6428
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16973_lociStitched	chr4	148876628	148935906	17	8929	27350.8692	6064.1394
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10330_lociStitched	chr17	47973669	48031993	20	9455	25598.4036	6030.7016
19_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_330_lociStitched	chr1	73998749	74054996	19	10811	26216.7267	5911.5597
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12646_lociStitched	chr2	30743652	30795036	12	8516	24530.7216	5647.1016
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12115_lociStitched	chr19	46453623	46504738	12	9223	25215.0295	5397.744
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13213_lociStitched	chr2	91934072	91985108	10	6302	21327.9444	5394.5052
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13909_lociStitched	chr2	158109687	158160289	13	7018	20569.713	5545.9792
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4729_lociStitched	chr11	120204587	120252845	15	14848	38432.6712	5081.5674
24_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23042_lociStitched	chr8	122283926	122330652	24	12549	29685.0278	5167.8956
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22991_lociStitched	chr8	121315351	121361237	10	3282	16353.7704	4983.2196
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4656_lociStitched	chr11	117930927	117976012	7	5221	17443.3865	4558.0935
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9583_lociStitched	chr17	12765651	12810540	14	9326	21569.1645	4345.2552
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23851_lociStitched	chr9	64042929	64087587	17	15678	31564.2744	5010.6276
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22902_lociStitched	chr8	120256772	120300653	14	7853	20698.6677	4778.6409
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12715_lociStitched	chr2	32044994	32088814	14	8526	21853.034	4487.168
19_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16595_lociStitched	chr4	133074976	133118414	19	10757	20780.7392	4487.1454
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13955_lociStitched	chr2	163353293	163396102	11	5607	17076.5101	4306.5854
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18246_lociStitched	chr5	124172003	124214519	15	6311	18728.298	4306.8708
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23079_lociStitched	chr8	122517036	122559480	15	10594	21896.8596	4397.1984
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5588_lociStitched	chr12	108229567	108271619	13	4737	18439.802	4474.3328
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21215_lociStitched	chr7	112257986	112299832	20	9645	23672.2822	4372.907
24_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2725_lociStitched	chr11	11815106	11856226	24	17596	29335.008	4112.0
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19800_lociStitched	chr6	128065520	128106331	12	5918	17871.1369	4203.533
