#ENCFF183VRP_peaks Enhancers
#Created from /mnt/vdb/ROSE/human/ENCFF697BQR/ENCFF183VRP_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ENCFF697BQR_sorted.bam
#Using cutoff of 4018.9348 for Super-Enhancers
#Created on Sep 14 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF697BQR_sorted.bam	ENCFF225QVL_sorted.bam	enhancerRank	isSuper
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10946_lociStitched	chrUn_KI270467v1	1970	3755	2	1597	78239.049	34625.2515	1	1
19_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1946_lociStitched	chr11	65471049	65508710	19	21051	33247.1308	3920.5101	2	1
14_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2878_lociStitched	chr12	124819429	124872097	14	5379	25306.974	5593.3416	3	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10945_lociStitched	chrUn_KI270466v1	32	1081	2	848	31261.1441	13332.4753	4	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10868_lociStitched	chr9	129460588	129497171	9	9530	19656.0459	3822.9235	5	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10940_lociStitched	chrUn_KI270333v1	169	2366	3	1087	27643.0934	11825.5722	6	1
14_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5593_lociStitched	chr19	38650061	38686469	14	7836	19332.648	4099.5408	7	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8146_lociStitched	chr4	49710527	49711879	2	602	28947.5368	14361.0792	8	1
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2758_lociStitched	chr12	114669354	114692562	10	9658	15802.3272	2467.0104	9	1
13_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7388_lociStitched	chr22	46068537	46089318	13	8066	14931.1485	2067.7095	10	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_182_lociStitched	chr1	21316610	21343259	9	4781	15531.0372	2992.6827	11	1
15_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5261_lociStitched	chr19	3368607	3405077	15	5386	15528.926	3194.772	12	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1936_lociStitched	chr11	65416662	65427942	6	9321	13347.624	1200.192	13	1
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8813_lociStitched	chr5	172765559	172789943	10	8965	14240.256	2660.2944	14	1
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8823_lociStitched	chr5	172859633	172879463	11	6826	13573.635	2244.756	15	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5490_lociStitched	chr19	18279401	18305782	6	6718	13612.596	2379.5662	16	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5997_lociStitched	chr2	26711391	26736633	8	6139	13734.1722	2594.8776	17	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2891_lociStitched	chr12	124904460	124940536	7	6279	14621.6028	3546.2708	18	1
13_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1368_lociStitched	chr10	72308433	72336820	13	6339	13824.469	2963.6028	19	1
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2169_lociStitched	chr11	118912079	118929949	11	6646	12373.188	1903.155	20	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7429_lociStitched	chr3	4977062	4995514	6	5822	12338.8524	1946.686	21	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1085_lociStitched	chr1	234599389	234613656	9	6939	11610.4846	1426.7	22	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5406_lociStitched	chr19	12778173	12794366	8	6480	11312.4298	1306.7751	23	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4280_lociStitched	chr17	2392104	2407817	7	6878	11377.7833	1483.3072	24	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6911_lociStitched	chr20	47351648	47361471	7	7181	10919.2468	1195.4591	25	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6972_lociStitched	chr20	50394713	50423741	8	5231	12911.6544	3355.6368	26	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5372_lociStitched	chr19	11065179	11092867	9	5428	11983.3664	2433.7752	27	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10597_lociStitched	chr9	70411400	70421447	6	7027	10375.5369	845.9574	28	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6153_lociStitched	chr2	54559554	54586903	9	3940	12711.8152	3213.5075	29	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5188_lociStitched	chr19	1244692	1262091	9	6212	10764.7613	1337.9831	30	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3406_lociStitched	chr14	77032000	77044531	5	6899	10678.9182	1400.9658	31	1
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2141_lociStitched	chr11	114159435	114180225	10	5026	11417.868	2488.563	32	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6043_lociStitched	chr2	28389964	28400241	7	7230	9934.7759	1040.0324	33	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4994_lociStitched	chr18	3594449	3606063	2	5847	10159.9272	1327.4802	34	1
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5063_lociStitched	chr18	22172319	22189724	10	5211	10317.684	1597.779	35	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3520_lociStitched	chr15	37095388	37111557	6	4186	9897.0449	1539.2888	36	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1408_lociStitched	chr10	77871645	77889351	9	4746	10311.9744	1979.5308	37	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3300_lociStitched	chr14	61511368	61538351	6	4508	11780.7778	3486.2036	38	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5179_lociStitched	chr19	1154610	1172734	8	4897	9837.7072	1578.6004	39	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4694_lociStitched	chr17	50931359	50956719	9	4265	10572.584	2485.28	40	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10109_lociStitched	chr8	23539329	23561790	8	3827	10406.1813	2434.7724	41	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7825_lociStitched	chr3	141393377	141413056	7	4456	10156.3319	2333.9294	42	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4551_lociStitched	chr17	40098014	40112946	7	4756	9401.1872	1605.19	43	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9132_lociStitched	chr6	32000170	32011187	8	6305	8986.5669	1203.0564	44	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4827_lociStitched	chr17	73288978	73309908	9	5306	9816.17	2034.396	45	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8833_lociStitched	chr5	172892211	172920461	8	4144	10509	2954.95	46	1
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9138_lociStitched	chr6	32031222	32042194	9	6022	8866.4732	1364.9168	47	1
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6671_lociStitched	chr2	231161418	231191229	11	3401	11006.2212	3604.1499	48	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_849_lociStitched	chr1	162670982	162690577	8	2594	9515.332	2196.5995	49	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6757_lociStitched	chr20	4950692	4974397	5	3858	9496.223	2299.385	50	1
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7905_lociStitched	chr3	172129389	172153920	10	3119	9535.1997	2511.9744	51	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4084_lociStitched	chr16	56605441	56611555	3	5102	7789.236	782.592	52	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4360_lociStitched	chr17	7834264	7844849	6	5157	8001.2015	1117.776	53	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8796_lociStitched	chr5	172407735	172420839	7	3418	8390.4912	1558.0656	54	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1661_lociStitched	chr10	132406732	132422024	8	3627	8320.3772	1506.262	55	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4383_lociStitched	chr17	8154581	8166515	4	3710	8000.5536	1236.3624	56	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1556_lociStitched	chr10	102769843	102783521	6	3936	8411.97	1689.233	57	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2425_lociStitched	chr12	47811999	47823649	4	4401	7748.415	1110.245	58	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2231_lociStitched	chr11	126345417	126359699	7	3946	8163.5912	1531.0304	59	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3734_lociStitched	chr15	78056718	78073343	6	2759	8671.6	2086.4375	60	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2853_lociStitched	chr12	124368908	124393111	6	2053	8749.3845	2408.1985	61	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1102_lociStitched	chr1	234970939	234981665	6	4088	7688.3968	1380.4362	62	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8364_lociStitched	chr4	184343276	184349741	6	4747	7009.9995	739.596	63	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9441_lociStitched	chr6	134292975	134309740	6	2959	8023.729	1877.68	64	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10089_lociStitched	chr8	22382813	22400879	7	3356	7808.1252	1752.402	65	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7963_lociStitched	chr3	187737983	187743506	4	4833	6721.491	673.806	66	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2492_lociStitched	chr12	53039143	53052633	2	4958	7451.876	1450.175	67	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7560_lociStitched	chr3	46931971	46949174	6	2736	8085.41	2102.2066	68	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10186_lociStitched	chr8	47512102	47525917	7	2982	7360.632	1402.2225	69	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3773_lociStitched	chr15	89091163	89112953	5	1670	8349.928	2396.9	70	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_152_lociStitched	chr1	16889154	16905650	4	2363	9435.712	3497.152	71	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6324_lociStitched	chr2	100273264	100293692	7	2888	7864.78	1928.4032	72	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2796_lociStitched	chr12	120230122	120247627	5	1852	7717.9545	1825.7715	73	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7640_lociStitched	chr3	52176918	52194946	8	3180	7670.914	1871.3064	74	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6337_lociStitched	chr2	102048780	102065278	5	2922	7618.7764	1941.8146	75	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1330_lociStitched	chr10	71975789	71999449	8	2691	8482.11	2806.076	76	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_787_lociStitched	chr1	156121754	156129859	6	4055	6347.836	786.185	77	1
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7988_lociStitched	chr3	194269305	194278585	8	3629	6464.448	995.744	78	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6906_lociStitched	chr20	47315226	47320053	2	3873	5932.383	588.4113	79	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5949_lociStitched	chr2	20443826	20451715	5	4438	6083.2079	752.6106	80	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4171_lociStitched	chr16	73053097	73064750	6	3767	6193.5695	883.2974	81	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10354_lociStitched	chr8	124618656	124631977	7	2970	6803.0347	1513.2656	82	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6837_lociStitched	chr20	36151114	36169144	3	1744	7074.972	1833.651	83	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4132_lociStitched	chr16	69396407	69413232	6	2222	6724.9525	1512.5675	84	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9088_lociStitched	chr6	30739981	30753102	3	3728	6530.3217	1329.1573	85	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5792_lociStitched	chr19	49801813	49820860	3	2804	6595.9761	1401.8592	86	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8683_lociStitched	chr5	139650921	139668778	7	1740	6839.231	1653.5582	87	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10816_lociStitched	chr9	127555787	127574039	4	1058	6895.6056	1743.066	88	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6877_lociStitched	chr20	45336227	45344259	6	3740	6097.8944	947.776	89	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8126_lociStitched	chr4	40577568	40595495	5	1347	6900.1023	1751.4679	90	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5431_lociStitched	chr19	13838738	13851228	6	3026	6185.048	1057.903	91	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9787_lociStitched	chr7	75934227	75951556	5	1580	6971.4567	1850.7372	92	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10650_lociStitched	chr9	91193210	91208601	6	3598	6941.341	1823.8335	93	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9200_lociStitched	chr6	35726007	35732802	4	3309	5900.778	808.605	94	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8853_lociStitched	chr5	173764752	173782685	7	1918	7205.4794	2128.6471	95	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3221_lociStitched	chr14	35334916	35342915	4	3207	5884.0644	814.2982	96	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8803_lociStitched	chr5	172438085	172451835	6	2597	6584.875	1570.25	97	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7101_lociStitched	chr21	41923464	41934400	3	2250	6064.012	1049.856	98	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5694_lociStitched	chr19	44741127	44754449	5	2203	6234.696	1257.5968	99	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2704_lociStitched	chr12	108825466	108839952	2	3121	6714.261	1775.9836	100	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5167_lociStitched	chr19	1101188	1113953	3	2708	5817.0105	926.739	101	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10738_lociStitched	chr9	107732587	107751768	6	3416	6770.893	2060.0394	102	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4761_lociStitched	chr17	59828948	59839861	4	2935	5770.7944	1060.7436	103	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9572_lociStitched	chr7	1531368	1538102	4	3638	5323.9004	627.6088	104	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1193_lociStitched	chr10	21518628	21528190	2	3168	5529.7046	909.3462	105	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5001_lociStitched	chr18	3649146	3655204	7	3867	5279.547	705.757	106	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1349_lociStitched	chr10	72247958	72261498	7	2444	5980.618	1450.134	107	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3060_lociStitched	chr13	97255431	97261226	6	3306	5395.7245	865.773	108	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9606_lociStitched	chr7	5424178	5427963	2	3703	4814.1415	300.529	109	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4887_lociStitched	chr17	77319511	77324243	2	4518	4994.1528	515.788	110	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6225_lociStitched	chr2	66575608	66581908	7	3482	4954.95	585.9	111	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_76_lociStitched	chr1	9241466	9250204	7	3147	5169.4008	832.7314	112	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_338_lociStitched	chr1	33335174	33347767	4	1375	5862.0415	1537.6053	113	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6581_lociStitched	chr2	205699621	205707289	6	2323	5237.244	920.16	114	1
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2769_lociStitched	chr12	114736345	114747975	6	2671	5432.373	1158.348	115	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6254_lociStitched	chr2	70132229	70143515	5	2745	5355.207	1091.3562	116	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1044_lociStitched	chr1	225812666	225818821	5	3515	4813.8255	592.111	117	1
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7925_lociStitched	chr3	177344820	177360454	5	2961	5972.188	1788.5296	118	1
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6961_lociStitched	chr20	50304219	50309317	7	2836	4866.5508	697.9162	119	1
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_545_lociStitched	chr1	91725350	91738022	4	1581	5962.176	1799.424	120	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_692_lociStitched	chr1	150561017	150568353	3	1874	4975.2752	853.1768	121	1
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5223_lociStitched	chr19	2059096	2064989	3	2506	4643.684	540.3881	122	1
2_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7486_lociStitched	chr3	15319167	15330817	2	971	5303.08	1265.19	123	1
