#ENCFF000VHВ_peaks Enhancers
#Created from /mnt/vdb/ROSE/cells/ENCFF000VHВ_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ENCFF000VHD_sorted.bam
#Using cutoff of 15740.7624 for Super-Enhancers
#Created on Sep 12 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF000VHD_sorted.bam	ENCFF000VHL_sorted.bam	enhancerRank	isSuper
19_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4092_lociStitched	chr20	47304480	47393803	19	30514	512571.1032	132358.8214	1	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2973_lociStitched	chr17	59828049	59860736	9	30184	326154.1547	31278.1903	2	1
24_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4284_lociStitched	chr20	53735971	53807276	24	22510	426332.595	161356.0845	3	1
23_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4206_lociStitched	chr20	50710402	50767182	23	26888	327262.886	73246.2	4	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4295_lociStitched	chr20	53851672	53872416	9	9298	180904.2752	37123.4624	5	1
35_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_5762_lociStitched	chr6	151651481	151716375	35	43781	145693.5194	11596.5578	6	1
47_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_3394_lociStitched	chr2	11477229	11561080	47	42616	118951.0286	9466.7779	7	1
19_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4436_lociStitched	chr21	40312713	40345442	19	24034	76065.4689	4235.1326	8	1
7_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4103_lociStitched	chr20	47486808	47508502	7	8882	99399.7386	28833.4954	9	1
3_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4098_lociStitched	chr20	47429175	47439781	3	8575	82138.167	14097.4952	10	1
7_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4254_lociStitched	chr20	53642558	53661895	7	7100	96043.0116	30919.863	11	1
3_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4102_lociStitched	chr20	47452630	47466088	3	6038	80953.9074	22943.1984	12	1
24_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_5238_lociStitched	chr5	67204301	67246165	24	22735	59739.928	4198.9592	13	1
13_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4128_lociStitched	chr20	47787929	47810297	13	9717	74986.4832	20598.6912	14	1
17_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6295_lociStitched	chr8	95064706	95114502	17	17319	60835.7732	8893.5656	15	1
22_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2729_lociStitched	chr16	85417282	85476556	22	15433	63085.3182	14421.3642	16	1
14_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4906_lociStitched	chr3	161402794	161423751	14	17833	48963.9348	2680.4003	17	1
17_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6875_lociStitched	chr9	129458258	129498118	17	17203	53205.128	7545.498	18	1
17_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4514_lociStitched	chr22	28794097	28829351	17	18586	46782.058	3253.9442	19	1
6_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4300_lociStitched	chr20	53898021	53915891	6	4126	80123.719	37314.347	20	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_5740_lociStitched	chr6	151613529	151636702	9	12962	46851.1714	5195.3866	21	1
5_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4138_lociStitched	chr20	47978881	47993693	5	7305	55752.368	14383.9332	22	1
15_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_3953_lociStitched	chr2	237475624	237509940	15	13690	45310.8464	5603.8028	23	1
2_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4249_lociStitched	chr20	53620638	53624380	2	3632	47476.2508	8834.4878	24	1
3_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4309_lociStitched	chr20	54121118	54126834	3	4700	46220.1476	8496.2624	25	1
23_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2153_lociStitched	chr14	100008291	100040504	23	17321	40491.741	3240.6278	26	1
4_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2999_lociStitched	chr17	61352413	61360765	4	2916	48418.2144	13159.4112	27	1
12_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1538_lociStitched	chr12	52873748	52908962	12	9739	41936.3526	8567.5662	28	1
15_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6686_lociStitched	chr9	90920499	90965226	15	8675	40044.0831	6771.6678	29	1
21_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2463_lociStitched	chr15	98852788	98878330	21	15157	34657.9398	3085.4736	30	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4147_lociStitched	chr20	48051076	48078446	9	5531	56874.86	25352.831	31	1
12_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_6371_lociStitched	chr8	101488849	101515581	12	9236	34730.2144	4662.0608	32	1
5_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4260_lociStitched	chr20	53677762	53692233	5	2223	57319.631	27507.9239	33	1
14_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2431_lociStitched	chr15	98744752	98777975	14	10343	33462.2056	3740.9098	34	1
7_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4244_lociStitched	chr20	53590681	53597210	7	4898	38620.9937	8906.8618	35	1
18_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_3174_lociStitched	chr18	36096332	36132699	18	12611	32050.2371	2400.222	36	1
13_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2961_lociStitched	chr17	59775247	59805362	13	8625	34861.124	5896.517	37	1
9_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1324_lociStitched	chr11	85812601	85846631	9	9402	31341.63	2749.624	38	1
16_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_597_lociStitched	chr1	202007605	202060007	16	8097	34611.521	6670.7746	39	1
5_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_2991_lociStitched	chr17	61230396	61237387	5	3953	36769.8636	9172.192	40	1
15_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_5374_lociStitched	chr5	139636320	139662083	15	10708	31193.8404	3642.8882	41	1
8_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_4462_lociStitched	chr21	40374376	40389108	8	8765	29299.0016	2461.7172	42	1
12_/mnt/vdb/MACS/cells/ENCFF000VHВ_peak_1226_lociStitched	chr11	65471911	65506435	12	8376	29994.4512	3942.6408	43	1
