REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF697BQR_sorted.bam	ENCFF225QVL_sorted.bam
14_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2878_lociStitched	chr12	124819429	124872097	14	5379	25306.974	5593.3416
19_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1946_lociStitched	chr11	65471049	65508710	19	21051	33247.1308	3920.5101
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10868_lociStitched	chr9	129460588	129497171	9	9530	19656.0459	3822.9235
15_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5261_lociStitched	chr19	3368607	3405077	15	5386	15528.926	3194.772
14_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5593_lociStitched	chr19	38650061	38686469	14	7836	19332.648	4099.5408
7_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2891_lociStitched	chr12	124904460	124940536	7	6279	14621.6028	3546.2708
11_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6671_lociStitched	chr2	231161418	231191229	11	3401	11006.2212	3604.1499
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6972_lociStitched	chr20	50394713	50423741	8	5231	12911.6544	3355.6368
13_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1368_lociStitched	chr10	72308433	72336820	13	6339	13824.469	2963.6028
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8833_lociStitched	chr5	172892211	172920461	8	4144	10509.0	2954.95
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5372_lociStitched	chr19	11065179	11092867	9	5428	11983.3664	2433.7752
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6153_lociStitched	chr2	54559554	54586903	9	3940	12711.8152	3213.5075
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3300_lociStitched	chr14	61511368	61538351	6	4508	11780.7778	3486.2036
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_182_lociStitched	chr1	21316610	21343259	9	4781	15531.0372	2992.6827
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5490_lociStitched	chr19	18279401	18305782	6	6718	13612.596	2379.5662
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4694_lociStitched	chr17	50931359	50956719	9	4265	10572.584	2485.28
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_5997_lociStitched	chr2	26711391	26736633	8	6139	13734.1722	2594.8776
4_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4151_lociStitched	chr16	70691405	70715997	4	1956	5127.432	2510.8432
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_7905_lociStitched	chr3	172129389	172153920	10	3119	9535.1997	2511.9744
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_8813_lociStitched	chr5	172765559	172789943	10	8965	14240.256	2660.2944
6_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2853_lociStitched	chr12	124368908	124393111	6	2053	8749.3845	2408.1985
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_6757_lociStitched	chr20	4950692	4974397	5	3858	9496.223	2299.385
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_1330_lociStitched	chr10	71975789	71999449	8	2691	8482.11	2806.076
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2758_lociStitched	chr12	114669354	114692562	10	9658	15802.3272	2467.0104
8_/mnt/vdb/MACS/human/ENCFF183VRP_peak_10109_lociStitched	chr8	23539329	23561790	8	3827	10406.1813	2434.7724
3_/mnt/vdb/MACS/human/ENCFF183VRP_peak_9709_lociStitched	chr7	47453480	47475721	3	887	6534.4058	2726.7466
5_/mnt/vdb/MACS/human/ENCFF183VRP_peak_3773_lociStitched	chr15	89091163	89112953	5	1670	8349.928	2396.9
9_/mnt/vdb/MACS/human/ENCFF183VRP_peak_4827_lociStitched	chr17	73288978	73309908	9	5306	9816.17	2034.396
10_/mnt/vdb/MACS/human/ENCFF183VRP_peak_2141_lociStitched	chr11	114159435	114180225	10	5026	11417.868	2488.563
