#ENCFF183VRP_peaks Enhancers
#Created from /mnt/vdb/ROSE/mouse/ENCFF483VRP/ENCFF183VRP_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ENCFF483VRP_sorted.bam
#Using cutoff of 5535.8184 for Super-Enhancers
#Created on Sep 13 2020 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ENCFF483VRP_sorted.bam	ENCFF183PVA_sorted.bam	enhancerRank	isSuper
32_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12625_lociStitched	chr2	30640103	30726358	32	27493	60059.3565	9134.4045	1	1
37_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21689_lociStitched	chr7	142509488	142575084	37	24303	48022.8316	7169.6428	2	1
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4729_lociStitched	chr11	120204587	120252845	15	14848	38432.6712	5081.5674	3	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_7365_lociStitched	chr14	63239159	63272126	11	20524	34905.4596	3290.1066	4	1
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23851_lociStitched	chr9	64042929	64087587	17	15678	31564.2744	5010.6276	5	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18581_lociStitched	chr5	142802178	142824363	3	11445	28509.9435	2120.886	6	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22174_lociStitched	chr8	57312294	57341405	7	16091	28103.7594	2614.1678	7	1
24_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2725_lociStitched	chr11	11815106	11856226	24	17596	29335.008	4112	8	1
24_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23042_lociStitched	chr8	122283926	122330652	24	12549	29685.0278	5167.8956	9	1
18_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14009_lociStitched	chr2	165866612	165907166	18	15152	28298.5812	4108.1202	10	1
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4151_lociStitched	chr11	98925652	98965571	14	15879	27931.3243	4446.9766	11	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2798_lociStitched	chr11	19007513	19027784	10	14744	24489.3951	1783.848	12	1
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_1761_lociStitched	chr10	60792125	60828645	20	13161	25578.608	3860.164	13	1
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16973_lociStitched	chr4	148876628	148935906	17	8929	27350.8692	6064.1394	14	1
19_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_330_lociStitched	chr1	73998749	74054996	19	10811	26216.7267	5911.5597	15	1
22_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3827_lociStitched	chr11	88114743	88187723	22	9262	27849.168	7589.92	16	1
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10991_lociStitched	chr18	35814585	35850168	14	13923	23687.6031	3604.5579	17	1
16_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9950_lociStitched	chr17	29432801	29468054	16	11091	23658.2883	3638.1096	18	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12115_lociStitched	chr19	46453623	46504738	12	9223	25215.0295	5397.744	19	1
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10330_lociStitched	chr17	47973669	48031993	20	9455	25598.4036	6030.7016	20	1
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_21215_lociStitched	chr7	112257986	112299832	20	9645	23672.2822	4372.907	21	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12646_lociStitched	chr2	30743652	30795036	12	8516	24530.7216	5647.1016	22	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_2039_lociStitched	chr10	80146089	80165990	9	9508	20768.6836	2171.1991	23	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9837_lociStitched	chr17	26837458	26868979	12	13510	21528.843	3000.7992	24	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5465_lociStitched	chr12	86799018	86836983	13	10913	22558.803	4069.848	25	1
17_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22943_lociStitched	chr8	120525140	120565794	17	10721	22485.7274	4293.0624	26	1
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23079_lociStitched	chr8	122517036	122559480	15	10594	21896.8596	4397.1984	27	1
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12715_lociStitched	chr2	32044994	32088814	14	8526	21853.034	4487.168	28	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_12595_lociStitched	chr2	30440443	30474169	8	9364	20593.0956	3264.6768	29	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11610_lociStitched	chr19	5799996	5827853	13	9885	20304.9673	3005.7703	30	1
20_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16787_lociStitched	chr4	137470514	137498643	20	12122	20525.7313	3262.964	31	1
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_9583_lociStitched	chr17	12765651	12810540	14	9326	21569.1645	4345.2552	32	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18115_lociStitched	chr5	119823909	119843606	9	12077	19147.4537	2015.0031	33	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22475_lociStitched	chr8	84180091	84204315	7	9829	19575.4144	2453.8912	34	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18591_lociStitched	chr5	142904505	142936392	6	8660	20120.697	3105.7938	35	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4039_lociStitched	chr11	97404346	97443376	12	8697	20740.542	4051.314	36	1
19_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16595_lociStitched	chr4	133074976	133118414	19	10757	20780.7392	4487.1454	37	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22496_lociStitched	chr8	84634988	84665620	8	9816	18976.524	2790.5752	38	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22933_lociStitched	chr8	120475944	120512181	9	7236	19991.9529	3848.3694	39	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_3969_lociStitched	chr11	95982231	96018498	5	6478	19500.7659	3416.3514	40	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13213_lociStitched	chr2	91934072	91985108	10	6302	21327.9444	5394.5052	41	1
14_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22902_lociStitched	chr8	120256772	120300653	14	7853	20698.6677	4778.6409	42	1
8_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_23205_lociStitched	chr8	126582997	126598270	8	9253	17206.5618	1399.0068	43	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5469_lociStitched	chr12	86881968	86898604	12	10644	17459.482	1726.8168	44	1
16_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_14769_lociStitched	chr3	88114999	88151736	16	9964	19279.5776	3614.9208	45	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8394_lociStitched	chr15	88837041	88868633	9	7523	18797.24	3269.772	46	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11374_lociStitched	chr18	75366332	75386673	9	7679	17200.3496	1914.0881	47	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_10819_lociStitched	chr18	11047117	11059194	5	9822	16396.9429	1179.9229	48	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13909_lociStitched	chr2	158109687	158160289	13	7018	20569.713	5545.9792	49	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_17282_lociStitched	chr5	24320526	24354191	11	7904	18626.8445	3706.5165	50	1
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18862_lociStitched	chr6	30514139	30552263	15	7593	18284.2704	3492.1584	51	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_15779_lociStitched	chr4	45471858	45508418	11	4941	18356.776	3933.856	52	1
15_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_18246_lociStitched	chr5	124172003	124214519	15	6311	18728.298	4306.8708	53	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_22845_lociStitched	chr8	111716349	111746409	9	8447	17524.98	3180.348	54	1
6_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_6920_lociStitched	chr14	25442856	25468524	6	6247	16738.1028	2646.3708	55	1
5_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20806_lociStitched	chr7	70347662	70370334	5	7694	16029.104	1976.9984	56	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_8077_lociStitched	chr15	77013136	77039766	9	7373	17008.581	2958.593	57	1
13_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_5588_lociStitched	chr12	108229567	108271619	13	4737	18439.802	4474.3328	58	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4308_lociStitched	chr11	102573015	102611035	7	7444	17728.726	3817.208	59	1
9_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_20839_lociStitched	chr7	73584312	73619399	9	7248	17189.1213	3364.8433	60	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_13381_lociStitched	chr2	118510390	118546386	11	8131	17497.6556	3682.3908	61	1
11_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16111_lociStitched	chr4	106839019	106869820	11	7171	17002.152	3246.4254	62	1
3_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16635_lociStitched	chr4	133751354	133757788	3	5932	14370.339	657.5548	63	1
12_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_19800_lociStitched	chr6	128065520	128106331	12	5918	17871.1369	4203.533	64	1
10_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_11033_lociStitched	chr18	37821970	37851929	10	8253	15884.2618	2813.1501	65	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_16737_lociStitched	chr4	136133800	136148905	7	9018	14583.8775	1563.3675	66	1
7_/mnt/vdb/MACS/mouse/ENCFF183VRP_peak_4656_lociStitched	chr11	117930927	117976012	7	5221	17443.3865	4558.0935	67	1
